ID,Name,City,Gender,Hight,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Constitution
202008,Yolanda,Shanghai,male,174.0,82.0,69.0,80.0,67.0,90.0,90.0,70.0,100.0,80.0,0.0,60.0
202006,Chelsea,Guangzhou,girl,163.0,79.0,74.0,82.0,74.0,89.0,100.0,100.0,80.0,90.0,0.0,60.0
202007,Dylan,Shenzhen,female,154.0,83.0,76.0,85.0,75.0,93.0,70.0,70.0,100.0,90.0,0.0,60.0
202004,Grace,Guangzhou,boy,168.0,82.0,62.0,81.0,61.0,89.0,90.0,70.0,80.0,50.0,0.0,60.0
202005,Hayden,Shanghai,boy,168.0,85.0,82.0,91.0,60.0,92.0,90.0,100.0,90.0,80.0,0.0,100.0
202013,Donald,Beijing,male,163.0,82.0,73.0,83.0,70.0,89.0,100.0,60.0,100.0,40.0,0.0,60.0
202014,Joy,Guangzhou,boy,161.0,80.0,91.0,85.0,65.0,89.0,100.0,60.0,80.0,50.0,0.0,80.0
202011,Franklin,Guangzhou,boy,161.0,83.0,79.0,75.0,78.0,92.0,70.0,60.0,70.0,70.0,0.0,80.0
202099,Alexander,Beijing,boy,169.0,88.0,77.0,83.0,75.0,88.0,70.0,60.0,90.0,80.0,0.0,100.0
202012,Phyllis,Shenzhen,girl,161.0,80.0,79.0,91.0,59.0,93.0,100.0,90.0,80.0,90.0,0.0,60.0
202097,Andrew,Shanghai,boy,168.0,76.0,71.0,83.0,75.0,93.0,100.0,70.0,100.0,40.0,0.0,40.0
202098,Elijah,Shenzhen,girl,160.0,67.0,77.0,87.0,62.0,91.0,60.0,100.0,80.0,90.0,0.0,100.0
202095,Britney,Guangzhou,girl,166.0,78.0,84.0,91.0,72.0,91.0,50.0,100.0,90.0,100.0,0.0,40.0
202096,Miranda,Shenzhen,boy,172.0,72.0,77.0,78.0,77.0,91.0,90.0,100.0,100.0,60.0,0.0,80.0
202093,Owen,Beijing,girl,156.0,76.0,94.0,96.0,72.0,92.0,60.0,60.0,80.0,40.0,0.0,60.0
202094,Glendon,Guangzhou,girl,168.0,81.0,56.0,84.0,61.0,84.0,60.0,100.0,100.0,80.0,0.0,80.0
202091,Monica,Shanghai,boy,172.0,85.0,82.0,81.0,76.0,88.0,100.0,100.0,60.0,60.0,0.0,60.0
